Trace,Exp,Core_0_IPC,Core_0_instructions,Core_0_cycles,Core_0_LLC_total_access,Core_0_LLC_total_hit,Core_0_LLC_total_miss,Core_0_LLC_loads,Core_0_LLC_load_hit,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Core_0_L2C_total_access,Core_0_L2C_total_hit,Core_0_L2C_total_miss,Core_0_L2C_loads,Core_0_L2C_load_hit,Core_0_L2C_load_miss,Core_0_L2C_prefetch_requested,Core_0_L2C_prefetch_issued,Core_0_L2C_prefetch_useful,Core_0_L2C_prefetch_useless,Core_0_L2C_prefetch_late,Core_0_L2C_prefetch_filled,Core_0_L2C_prefetch_dropped,Core_0_L2C_average_miss_latency,Core_0_branch_prediction_accuracy,Core_0_branch_MPKI,Core_0_average_ROB_occupancy_at_mispredict,meta_selected_tsetlin,meta_selected_linucb,meta_selected_stride,meta_selected_pct_tsetlin,meta_selected_pct_linucb,meta_selected_pct_stride,meta_accuracy_ema_tsetlin,meta_accuracy_ema_linucb,meta_accuracy_ema_stride,meta_conf_ema_tsetlin,meta_conf_ema_linucb,meta_conf_ema_stride,meta_total_invocations,meta_all_empty,meta_stride_fallback,meta_single_ml,meta_explore,meta_greedy,meta_loser_boost,meta_sticky_switches,meta_epsilon_current,tsetlin_pt_lookup,tsetlin_pt_hit,tsetlin_pt_insert,tsetlin_predict_called,tsetlin_predict_explore,tsetlin_predict_exploit,tsetlin_predict_predicted,tsetlin_predict_multi_deg_called,tsetlin_predict_multi_deg_issued,tsetlin_reward_called,tsetlin_reward_pt_found,tsetlin_reward_correct_timely,tsetlin_reward_correct_untimely,tsetlin_reward_incorrect,tsetlin_learn_called,tsetlin_learn_positive,tsetlin_learn_negative,tsetlin_featurewise_pooled_predicts,tsetlin_featurewise_weight_updates,linucb_pt_lookup,linucb_pt_hit,linucb_pt_insert,linucb_predict_called,linucb_predict_explore,linucb_predict_exploit,linucb_predict_predicted,linucb_predict_multi_deg_called,linucb_predict_multi_deg_issued,linucb_predict_gating_checked,linucb_predict_gating_suppressed,linucb_reward_called,linucb_reward_pt_found,linucb_reward_correct_timely,linucb_reward_correct_untimely,linucb_reward_incorrect,linucb_learn_called,linucb_learn_positive,linucb_learn_negative,linucb_featurewise_pooled_predicts,linucb_featurewise_weight_updates,linucb_suppress_called,linucb_suppress_suppressed,stride_tracker_lookup,stride_tracker_hit,stride_stride_pos,stride_stride_neg,stride_pref_generated,stride_pref_stride_match,Filter
403.gcc-16B,nopref,1.40077,100000000,71389380,9967590,9955204,12386,62760,51155,11605,778,3,9975651,4968248,5007403,65863,3103,62760,0,0,0,0,0,0,0,30.36532,99.87315,0.24667,106.95139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B,spp,1.40338,100000000,71256387,9981709,9966873,14836,62733,53066,9667,751,4,9980267,4972833,5007434,65863,3126,62737,25414,25414,45,72,4,117,0,30.30467,99.87315,0.24667,106.7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B,bingo,1.41165,100000000,70839238,9985976,9962044,23932,61475,56067,5408,683,10,9980568,4969621,5010947,65863,4308,61555,21211,21211,1302,3952,82,5254,0,30.38206,99.87315,0.24667,105.98431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B,mlop,1.41048,100000000,70897893,9981306,9960664,20642,62759,56616,6143,683,0,9975937,4968600,5007337,65863,3104,62759,18351,18351,0,0,0,0,0,30.20245,99.87315,0.24667,106.41671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B,pythia,1.41248,100000000,70797329,9993798,9973567,20231,53349,47662,5687,709,0,10035059,5001432,5033627,65863,12153,53710,81678,81678,12182,32650,370,44833,0,30.60567,99.87315,0.24667,106.10909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B,linucb,1.40737,100000000,71054693,9983113,9965478,17635,53919,45553,8366,708,0,10011111,4988165,5022946,65863,11429,54434,49096,49096,10417,21466,518,31886,0,30.52054,99.87315,0.24667,106.52625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186789,83961,49713,79693,402,79291,49096,4087,3866,76871,0,79693,24892,12329,12563,19828,49484,25687,19828,79693,0,76871,0,0,0,0,0,0,0,0
403.gcc-16B,tsetlin,1.41165,100000000,70839005,10007072,9983577,23495,52739,46270,6469,690,4,10041999,4995089,5046910,65864,12724,53140,86140,86140,13469,48233,411,61708,0,30.72088,99.87315,0.24667,106.1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215626,83311,53707,79694,2709,76985,86140,44655,41484,79694,20607,10722,9885,27241,53378,21145,27241,79694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B,meta_selector,1.41399,100000000,70722075,10030586,10004543,26043,48463,42832,5631,673,9,10087028,5016584,5070444,65863,16927,48936,135604,135604,18485,72945,477,91441,0,30.81108,99.87315,0.24667,106.00093,36096,19346,24251,45.29382,24.27566,30.43053,1.51991,1.4031,0.00056,0.05881,0.12008,0,79693,23724,24251,31389,6773,17280,2384,6,0.14138,245116,86856,53779,79693,2720,76973,84652,44453,40155,79693,19276,10496,8780,29097,53327,19538,29097,79693,0,228457,67520,57368,79693,802,78891,114172,34998,79174,59187,0,79693,19365,8757,10608,14465,36812,19951,14465,79693,0,59187,0,79693,75434,28787,17446,4845,2473,0
403.gcc-16B,nopref_MTPS600,1.40037,100000000,71409789,9967590,9955204,12386,62760,51155,11605,778,3,9975651,4968248,5007403,65863,3103,62760,0,0,0,0,0,0,0,30.3732,99.87315,0.24667,106.96124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B,spp_MTPS600,1.40292,100000000,71279677,9981704,9966869,14835,62733,53063,9670,751,4,9980266,4972832,5007434,65863,3126,62737,25412,25412,45,72,4,117,0,30.3134,99.87315,0.24667,106.79523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
