Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_instructions,Core_1_instructions,Core_2_instructions,Core_3_instructions,Core_0_cycles,Core_1_cycles,Core_2_cycles,Core_3_cycles,Core_0_L2C_prefetch_issued,Core_1_L2C_prefetch_issued,Core_2_L2C_prefetch_issued,Core_3_L2C_prefetch_issued,Core_0_L2C_prefetch_useful,Core_1_L2C_prefetch_useful,Core_2_L2C_prefetch_useful,Core_3_L2C_prefetch_useful,Core_0_L2C_prefetch_useless,Core_1_L2C_prefetch_useless,Core_2_L2C_prefetch_useless,Core_3_L2C_prefetch_useless,Core_0_L2C_prefetch_late,Core_1_L2C_prefetch_late,Core_2_L2C_prefetch_late,Core_3_L2C_prefetch_late,Core_0_L2C_prefetch_filled,Core_1_L2C_prefetch_filled,Core_2_L2C_prefetch_filled,Core_3_L2C_prefetch_filled,Core_0_L2C_load_miss,Core_1_L2C_load_miss,Core_2_L2C_load_miss,Core_3_L2C_load_miss,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Core_0_branch_prediction_accuracy,Core_1_branch_prediction_accuracy,Core_2_branch_prediction_accuracy,Core_3_branch_prediction_accuracy,meta_selected_tsetlin,meta_selected_linucb,meta_selected_stride,meta_selected_pct_tsetlin,meta_selected_pct_linucb,meta_selected_pct_stride,meta_total_invocations,meta_all_empty,meta_stride_fallback,meta_explore,meta_greedy,meta_loser_boost,meta_sticky_switches,Filter
403.gcc-16B_4T,nopref,1.40478,1.40486,1.40485,1.40487,100000000,100000001,100000001,100000001,71185764,71181308,71181742,71181148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34594,24046,35699,24275,12376,11604,770,2,99.87315,99.87316,99.87316,99.87316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B_4T,spp,1.40747,1.4081,1.40745,1.4081,100000000,100000000,100000001,100000001,71049668,71017788,71050256,71017480,25839,25644,26251,25902,41,41,45,36,58,57,52,51,2,3,5,2,103,103,102,89,32625,24045,36081,23838,14854,9654,741,0,99.87315,99.87324,99.87315,99.87324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B_4T,bingo,1.41682,1.41847,1.41684,1.41846,100000000,100000001,100000001,100000001,70580437,70498745,70579726,70498940,21497,21468,21159,21661,2059,2472,2293,2292,2789,2206,2265,2548,67,72,57,85,5078,4916,4782,5075,32662,22499,33864,23006,24046,5372,693,66,99.87315,99.87339,99.87315,99.87339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B_4T,mlop,1.41504,1.41692,1.41511,1.41699,100000000,100000001,100000001,100000001,70669480,70575749,70666031,70571881,18199,18494,18774,18361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34158,24591,36376,24731,20537,6175,695,18,99.87315,99.87342,99.87316,99.87343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B_4T,pythia,1.4164,1.41858,1.41643,1.4186,100000000,100000001,100000001,100000001,70601531,70493270,70600169,70492071,79214,78185,78861,77867,9729,8826,10021,8722,18606,18000,19780,16476,247,289,337,329,29082,27591,30583,25977,23275,19100,25360,17275,20001,5658,700,23,99.87315,99.87347,99.87315,99.87346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B_4T,linucb,1.41105,1.41111,1.41104,1.41112,100000000,100000001,100000001,100000001,70869436,70866088,70869825,70865702,43707,47949,48005,46014,7849,6158,6688,4760,13575,13477,13385,12491,157,240,319,645,21954,20187,20653,17887,28807,23907,22608,21717,17670,8398,701,16,99.87315,99.87316,99.87315,99.87316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B_4T,tsetlin,1.41519,1.41637,1.4152,1.41519,100000000,100000001,100000001,100000001,70661748,70602997,70661334,70661773,83852,87065,85635,84403,10384,8547,9829,9888,36002,29575,35412,37376,206,297,210,285,47339,39136,46349,47917,33044,19461,28316,30524,23604,6412,684,61,99.87315,99.87332,99.87315,99.87315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403.gcc-16B_4T,meta_selector,1.41692,1.41754,1.41757,1.41761,100000000,100000001,100000001,100000001,70575855,70544984,70543034,70541150,127511,125873,123160,126124,12077,10737,10135,10988,46015,36939,40013,41516,430,406,337,583,59164,48855,51244,53600,25292,19201,18577,21807,24346,5977,673,66,99.87315,99.87324,99.87324,99.87325,33424,24727,21588,41.916752,31.00992,27.073326,79739,21176,21588,8739,20091,2885,18,0
429.mcf-184B_4T,nopref,0.08539,0.0854,0.0854,0.08538,100000003,100000001,100000000,100000002,1171127881,1170939479,1171009232,1171243269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10287482,10290294,10283433,10292548,5688006,5310391,44426,333189,92.6163,92.61671,92.6168,92.61607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429.mcf-184B_4T,spp,0.08327,0.08326,0.08338,0.08328,100000000,100000003,100000000,100000001,1200928921,1201102111,1199296848,1200751209,864088,852473,903993,834944,45,36,48,40,867,902,869,810,5,4,5,7,912,938,918,850,10297187,10295102,10295329,10296965,6035475,5416014,51112,330158,92.61654,92.61607,92.61947,92.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429.mcf-184B_4T,bingo,0.04374,0.04358,0.04376,0.04357,100000000,100000003,100000001,100000000,2286387599,2294377436,2285016208,2295060333,129411111,128834558,128948652,128582400,589551,617298,656663,615038,1794759,1771603,1980309,1824300,9182,8995,9083,8950,2384570,2389189,2637401,2440216,10013537,9970769,9942083,9978110,46570037,6003446,28397,328340,92.62655,92.61691,92.62928,92.61663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429.mcf-184B_4T,mlop,0.08119,0.07904,0.08038,0.07913,100000002,100000003,100000000,100000003,1231683813,1265188132,1244070681,1263805068,14137007,14050200,13776095,13726109,1434418,1384235,1472892,1448323,1982350,1870978,2050740,1988387,299,266,278,384,3416768,3255843,3523632,3437196,9432405,9456107,9396387,9405839,12413246,3914048,68461,437601,92.64999,92.61645,92.64214,92.61873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
